Admin 1 PCode,Admin 1 Name,Admin 2 PCode,Admin 2 Name,Valid Location,Sector,Category,Population,In Need,Targeted,Affected,Reached
#adm1+code,#adm1+name,#adm2+code,#adm2+name,#meta+valid_location,#sector+code,#category,#population,#inneed,#targeted,#affected,#reached
,,,,Y,ALL,,12440000,8996986,5944709,,5000000
,,,,Y,ALL,total,,8546986,5494709,,
,,,,Y,CCM,,,1630963,1336270,,
,,,,Y,CCM,Adult - Female - IDP,,336705,277560,,
,,,,Y,CCM,Adult - Male - IDP,,334753,275634,,
,,,,Y,CCM,Children - Female - IDP,,383662,306691,,
,,,,Y,CCM,Children - Male - IDP,,409176,330184,,
,,,,Y,CCM,Elderly - Female - IDP,,77038,66504,,
,,,,Y,CCM,Elderly - Male - IDP,,89630,79697,,
,,,,Y,CCM,total,,1630963,1336270,,
,,,,Y,EDU,,,2035889,748800,,
,,,,Y,EDU,Female,,1079021,396864,,
,,,,Y,EDU,Male,,956868,351936,,
,,,,Y,EDU,total,,2035889,748800,,
,,,,Y,FSC,,,6978616,3968519,,
,,,,Y,FSC,Adult - Female,,271065,155780,,
,,,,Y,FSC,Adult - Male,,227241,128238,,
,,,,Y,FSC,Children - Female,,1894481,1080225,,
,,,,Y,FSC,Children - Male,,1919955,1095982,,
,,,,Y,FSC,Elderly - Female,,1353981,767635,,
,,,,Y,FSC,Elderly - Male,,1311892,740660,,
,,,,Y,FSC,total,,6978616,3968519,,
,,,,Y,HEA,,,6324453,3234718,,
,,,,Y,HEA,Adult - Female - Host Communities,,65468,35846,,
,,,,Y,HEA,Adult - Female - IDP,,260234,260234,,
,,,,Y,HEA,Adult - Female - Refugees,,265405,148320,,
,,,,Y,HEA,Adult - Female - Returnees,,51512,30321,,
,,,,Y,HEA,Adult - Male - Host Communities,,206528,121742,,
,,,,Y,HEA,Adult - Male - IDP,,98370,56471,,
,,,,Y,HEA,Adult - Male - Refugees,,94335,53403,,
,,,,Y,HEA,Adult - Male - Returnees,,203185,118803,,
,,,,Y,HEA,Children - Female - Host Communities,,122834,122834,,
,,,,Y,HEA,Children - Female - IDP,,655369,655369,,
,,,,Y,HEA,Children - Female - Refugees,,683972,291773,,
,,,,Y,HEA,Children - Female - Returnees,,118539,52320,,
,,,,Y,HEA,Children - Male - Host Communities,,638456,264264,,
,,,,Y,HEA,Children - Male - IDP,,315464,132179,,
,,,,Y,HEA,Children - Male - Refugees,,297333,124185,,
,,,,Y,HEA,Children - Male - Returnees,,641257,265085,,
,,,,Y,HEA,Elderly - Female - Host Communities,,64889,44178,,
,,,,Y,HEA,Elderly - Female - IDP,,300322,300322,,
,,,,Y,HEA,Elderly - Female - Refugees,,310597,310597,,
,,,,Y,HEA,Elderly - Female - Returnees,,71658,71658,,
,,,,Y,HEA,Elderly - Male - Host Communities,,298855,197943,,
,,,,Y,HEA,Elderly - Male - IDP,,147476,97828,,
,,,,Y,HEA,Elderly - Male - Refugees,,83744,83744,,
,,,,Y,HEA,Elderly - Male - Returnees,,284749,187561,,
,,,,Y,HEA,total,,6324453,3234718,,
,,,,Y,MS,,,,2941983,,
,,,,Y,MS,total,,,2941983,,
,,,,Y,NUT,,,2522320,1823764,,
,,,,Y,NUT,Children - Female - IDP,,870469,609328,,
,,,,Y,NUT,Children - Male - IDP,,809407,595074,,
,,,,Y,NUT,Children - Male - Refugees,,842444,619362,,
,,,,Y,NUT,total,,2522320,1823764,,
,,,,Y,PRO,,,5538189,2192868,,
,,,,Y,PRO,Adult - Female - Host Communities,,36829,36312,,
,,,,Y,PRO,Adult - Female - IDP,,134834,161598,,
,,,,Y,PRO,Adult - Female - Refugees,,254950,248020,,
,,,,Y,PRO,Adult - Female - Returnees,,33568,36158,,
,,,,Y,PRO,Adult - Male - Host Communities,,120993,123350,,
,,,,Y,PRO,Adult - Male - IDP,,44115,8912,,
,,,,Y,PRO,Adult - Male - Refugees,,41747,8609,,
,,,,Y,PRO,Adult - Male - Returnees,,171631,162551,,
,,,,Y,PRO,Children - Female - Host Communities,,115946,19279,,
,,,,Y,PRO,Children - Female - IDP,,558758,118941,,
,,,,Y,PRO,Children - Female - Refugees,,690596,170074,,
,,,,Y,PRO,Children - Female - Returnees,,113461,22483,,
,,,,Y,PRO,Children - Male - Host Communities,,661576,132261,,
,,,,Y,PRO,Children - Male - IDP,,233940,15158,,
,,,,Y,PRO,Children - Male - Refugees,,222659,14402,,
,,,,Y,PRO,Children - Male - Returnees,,669866,155275,,
,,,,Y,PRO,Elderly - Female - Host Communities,,59584,31385,,
,,,,Y,PRO,Elderly - Female - IDP,,223538,142974,,
,,,,Y,PRO,Elderly - Female - Refugees,,408214,243420,,
,,,,Y,PRO,Elderly - Female - Returnees,,58604,36092,,
,,,,Y,PRO,Elderly - Male - Host Communities,,227822,117207,,
,,,,Y,PRO,Elderly - Male - IDP,,93556,14221,,
,,,,Y,PRO,Elderly - Male - Refugees,,84260,13131,,
,,,,Y,PRO,Elderly - Male - Returnees,,277142,161054,,
,,,,Y,PRO,total,,5538189,2192868,,
,,,,Y,PRO_CPM,,,3157741,395185,,
,,,,Y,PRO_CPM,Adult - Female - Host Communities,,16931,1693,,
,,,,Y,PRO_CPM,Adult - Female - IDP,,75895,7589,,
,,,,Y,PRO_CPM,Adult - Female - Refugees,,78112,7811,,
,,,,Y,PRO_CPM,Adult - Female - Returnees,,15214,1521,,
,,,,Y,PRO_CPM,Adult - Male - Host Communities,,70563,15106,,
,,,,Y,PRO_CPM,Adult - Male - IDP,,33176,8765,,
,,,,Y,PRO_CPM,Adult - Male - Refugees,,31417,8454,,
,,,,Y,PRO_CPM,Adult - Male - Returnees,,69286,14881,,
,,,,Y,PRO_CPM,Children - Female - Host Communities,,64588,6459,,
,,,,Y,PRO_CPM,Children - Female - IDP,,353061,39150,,
,,,,Y,PRO_CPM,Children - Female - Refugees,,371506,40994,,
,,,,Y,PRO_CPM,Children - Female - Returnees,,61785,6178,,
,,,,Y,PRO_CPM,Children - Male - Host Communities,,345657,36600,,
,,,,Y,PRO_CPM,Children - Male - IDP,,171566,18589,,
,,,,Y,PRO_CPM,Children - Male - Refugees,,162704,17656,,
,,,,Y,PRO_CPM,Children - Male - Returnees,,348182,36913,,
,,,,Y,PRO_CPM,Elderly - Female - Host Communities,,34386,3439,,
,,,,Y,PRO_CPM,Elderly - Female - IDP,,164511,16451,,
,,,,Y,PRO_CPM,Elderly - Female - Refugees,,172201,17220,,
,,,,Y,PRO_CPM,Elderly - Female - Returnees,,36673,3667,,
,,,,Y,PRO_CPM,Elderly - Male - Host Communities,,167515,28367,,
,,,,Y,PRO_CPM,Elderly - Male - IDP,,80790,15837,,
,,,,Y,PRO_CPM,Elderly - Male - Refugees,,71967,14570,,
,,,,Y,PRO_CPM,Elderly - Male - Returnees,,160058,27274,,
,,,,Y,PRO_CPM,total,,3157741,395185,,
,,,,Y,PRO_GBV,,,2704925,495875,,
,,,,Y,PRO_GBV,Adult - Male - IDP,,10734,2696,,
,,,,Y,PRO_GBV,Adult - Male - Refugees,,26836,6711,,
,,,,Y,PRO_GBV,Children - Female - Host Communities,,85601,17399,,
,,,,Y,PRO_GBV,Children - Female - IDP,,26244,1614,,
,,,,Y,PRO_GBV,Children - Female - Refugees,,65610,4018,,
,,,,Y,PRO_GBV,Children - Female - Returnees,,256804,64273,,
,,,,Y,PRO_GBV,Children - Male - Host Communities,,104976,7466,,
,,,,Y,PRO_GBV,Children - Male - IDP,,131220,8072,,
,,,,Y,PRO_GBV,Children - Male - Refugees,,393659,29819,,
,,,,Y,PRO_GBV,Children - Male - Returnees,,590488,51768,,
,,,,Y,PRO_GBV,Elderly - Female - Host Communities,,42937,12470,,
,,,,Y,PRO_GBV,Elderly - Female - IDP,,53672,13482,,
,,,,Y,PRO_GBV,Elderly - Female - Refugees,,161015,49806,,
,,,,Y,PRO_GBV,Elderly - Female - Returnees,,241522,86467,,
,,,,Y,PRO_GBV,Elderly - Male - Host Communities,,17120,3480,,
,,,,Y,PRO_GBV,Elderly - Male - IDP,,68481,16092,,
,,,,Y,PRO_GBV,Elderly - Male - Refugees,,385206,111584,,
,,,,Y,PRO_GBV,Elderly - Male - Returnees,,42801,8660,,
,,,,Y,PRO_GBV,total,,2704925,495875,,
,,,,Y,PRO_HLP,,,1677308,215722,,
,,,,Y,PRO_HLP,Adult - Female - Host Communities,,29134,10197,,
,,,,Y,PRO_HLP,Adult - Female - IDP,,111857,39150,,
,,,,Y,PRO_HLP,Adult - Female - Refugees,,114688,40141,,
,,,,Y,PRO_HLP,Adult - Female - Returnees,,22498,7874,,
,,,,Y,PRO_HLP,Children - Female - Host Communities,,80543,1772,,
,,,,Y,PRO_HLP,Children - Female - IDP,,401280,8828,,
,,,,Y,PRO_HLP,Children - Female - Refugees,,421880,9281,,
,,,,Y,PRO_HLP,Children - Female - Returnees,,74376,1636,,
,,,,Y,PRO_HLP,Elderly - Female - Host Communities,,38872,8941,,
,,,,Y,PRO_HLP,Elderly - Female - IDP,,168797,38823,,
,,,,Y,PRO_HLP,Elderly - Female - Refugees,,175435,40350,,
,,,,Y,PRO_HLP,Elderly - Female - Returnees,,37950,8728,,
,,,,Y,PRO_HLP,total,,1677308,215722,,
,,,,Y,PRO_MIN,,,2555911,507298,,
,,,,Y,PRO_MIN,Adult - Female - Host Communities,,11382,2303,,
,,,,Y,PRO_MIN,Adult - Female - IDP,,65583,14181,,
,,,,Y,PRO_MIN,Adult - Female - Refugees,,68638,14839,,
,,,,Y,PRO_MIN,Adult - Female - Returnees,,12347,2344,,
,,,,Y,PRO_MIN,Adult - Male - Host Communities,,82775,16977,,
,,,,Y,PRO_MIN,Adult - Male - Returnees,,85125,17768,,
,,,,Y,PRO_MIN,Children - Female - Host Communities,,47717,9025,,
,,,,Y,PRO_MIN,Children - Female - IDP,,314643,61981,,
,,,,Y,PRO_MIN,Children - Female - Refugees,,335511,66344,,
,,,,Y,PRO_MIN,Children - Female - Returnees,,55831,10286,,
,,,,Y,PRO_MIN,Children - Male - Host Communities,,455692,86350,,
,,,,Y,PRO_MIN,Children - Male - Returnees,,457730,87315,,
,,,,Y,PRO_MIN,Elderly - Female - Host Communities,,24338,5021,,
,,,,Y,PRO_MIN,Elderly - Female - IDP,,115057,24376,,
,,,,Y,PRO_MIN,Elderly - Female - Refugees,,118492,25359,,
,,,,Y,PRO_MIN,Elderly - Female - Returnees,,23267,4606,,
,,,,Y,PRO_MIN,Elderly - Male - Host Communities,,142368,29268,,
,,,,Y,PRO_MIN,Elderly - Male - Returnees,,139416,28954,,
,,,,Y,PRO_MIN,total,,2555911,507298,,
,,,,Y,SHL,,,2138902,1390286,,
,,,,Y,SHL,Adult - Female - Host Communities,,37759,24543,,
,,,,Y,SHL,Adult - Female - IDP,,153381,99697,,
,,,,Y,SHL,Adult - Female - Refugees,,157455,102346,,
,,,,Y,SHL,Adult - Female - Returnees,,30218,19641,,
,,,,Y,SHL,Adult - Male - Host Communities,,123805,80473,,
,,,,Y,SHL,Adult - Male - IDP,,61073,39697,,
,,,,Y,SHL,Adult - Male - Refugees,,57787,37562,,
,,,,Y,SHL,Adult - Male - Returnees,,121476,78960,,
,,,,Y,SHL,Children - Female - Host Communities,,10845,7049,,
,,,,Y,SHL,Children - Female - IDP,,65771,42751,,
,,,,Y,SHL,Children - Female - Refugees,,70347,45726,,
,,,,Y,SHL,Children - Female - Returnees,,11819,7683,,
,,,,Y,SHL,Children - Male - Host Communities,,67207,43685,,
,,,,Y,SHL,Children - Male - IDP,,33486,21766,,
,,,,Y,SHL,Children - Male - Refugees,,30459,19799,,
,,,,Y,SHL,Children - Male - Returnees,,68014,44209,,
,,,,Y,SHL,Elderly - Female - Host Communities,,46425,30176,,
,,,,Y,SHL,Elderly - Female - IDP,,203326,132162,,
,,,,Y,SHL,Elderly - Female - Refugees,,208901,135786,,
,,,,Y,SHL,Elderly - Female - Returnees,,45830,29790,,
,,,,Y,SHL,Elderly - Male - Host Communities,,185192,120375,,
,,,,Y,SHL,Elderly - Male - IDP,,91520,59488,,
,,,,Y,SHL,Elderly - Male - Refugees,,81011,52657,,
,,,,Y,SHL,Elderly - Male - Returnees,,175793,114265,,
,,,,Y,SHL,total,,2138902,1390286,,
,,,,Y,WSH,,,5586492,2643691,,
,,,,Y,WSH,Adult - Female,,988000,469502,,
,,,,Y,WSH,Adult - Male,,969748,451129,,
,,,,Y,WSH,Children,,224298,110496,,
,,,,Y,WSH,Children - Female,,467616,220331,,
,,,,Y,WSH,Children - Male,,500890,238079,,
,,,,Y,WSH,Elderly,,209908,104462,,
,,,,Y,WSH,Elderly - Female,,1139439,536457,,
,,,,Y,WSH,Elderly - Male,,1086593,513234,,
,,,,Y,WSH,total,,5586492,2643691,,
SS00,,SS0001,Abyei Region,Y,ALL,total,,100873,73771,,
SS00,,SS0001,Abyei Region,Y,CCM,Adult - Female - IDP,,3117,2753,,
SS00,,SS0001,Abyei Region,Y,CCM,Adult - Male - IDP,,3001,2651,,
SS00,,SS0001,Abyei Region,Y,CCM,Children - Female - IDP,,3316,2929,,
SS00,,SS0001,Abyei Region,Y,CCM,Children - Male - IDP,,2949,2606,,
SS00,,SS0001,Abyei Region,Y,CCM,Elderly - Female - IDP,,247,218,,
SS00,,SS0001,Abyei Region,Y,CCM,Elderly - Male - IDP,,304,268,,
SS00,,SS0001,Abyei Region,Y,CCM,total,,12934,11425,,
SS00,,SS0001,Abyei Region,Y,EDU,Female,,5728,2107,,
SS00,,SS0001,Abyei Region,Y,EDU,Male,,5080,1868,,
SS00,,SS0001,Abyei Region,Y,EDU,total,,10808,3975,,
SS00,,SS0001,Abyei Region,Y,FSC,Adult - Female,,3918,2194,,
SS00,,SS0001,Abyei Region,Y,FSC,Adult - Male,,3416,1913,,
SS00,,SS0001,Abyei Region,Y,FSC,Children - Female,,26323,14741,,
SS00,,SS0001,Abyei Region,Y,FSC,Children - Male,,27428,15360,,
SS00,,SS0001,Abyei Region,Y,FSC,Elderly - Female,,20295,11365,,
SS00,,SS0001,Abyei Region,Y,FSC,Elderly - Male,,19089,10690,,
SS00,,SS0001,Abyei Region,Y,FSC,total,,100469,56262,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Female - Host Communities,,123,123,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Female - IDP,,1210,1210,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Female - Refugees,,1257,1257,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Female - Returnees,,100,100,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Male - Host Communities,,803,803,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Male - IDP,,386,386,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Male - Refugees,,508,508,,
SS00,,SS0001,Abyei Region,Y,HEA,Adult - Male - Returnees,,829,829,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Female - Host Communities,,1052,1052,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Female - IDP,,10386,10386,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Female - Refugees,,10789,10789,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Female - Returnees,,855,855,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Male - Host Communities,,6894,6894,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Male - IDP,,3313,3313,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Male - Refugees,,4360,4360,,
SS00,,SS0001,Abyei Region,Y,HEA,Children - Male - Returnees,,7118,7118,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Female - Host Communities,,559,559,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Female - IDP,,5519,5519,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Female - Refugees,,5733,5733,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Female - Returnees,,454,454,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Male - Host Communities,,3664,3664,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Male - IDP,,1760,1760,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Male - Refugees,,2317,2317,,
SS00,,SS0001,Abyei Region,Y,HEA,Elderly - Male - Returnees,,3783,3783,,
SS00,,SS0001,Abyei Region,Y,HEA,total,,73771,73771,,
SS00,,SS0001,Abyei Region,Y,MS,total,,,22131,,
SS00,,SS0001,Abyei Region,Y,NUT,Children - Female - IDP,,6546,4582,,
SS00,,SS0001,Abyei Region,Y,NUT,Children - Male - IDP,,7155,5222,,
SS00,,SS0001,Abyei Region,Y,NUT,Children - Male - Refugees,,7447,5435,,
SS00,,SS0001,Abyei Region,Y,NUT,total,,21147,15239,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Female - Host Communities,,51,77,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Female - IDP,,508,672,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Female - Refugees,,1072,1166,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Female - Returnees,,119,92,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Male - Host Communities,,337,433,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Male - IDP,,162,42,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Male - Refugees,,213,49,,
SS00,,SS0001,Abyei Region,Y,PRO,Adult - Male - Returnees,,715,675,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Female - Host Communities,,501,61,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Female - IDP,,4949,570,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Female - Refugees,,6162,967,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Female - Returnees,,685,73,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Male - Host Communities,,3285,353,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Male - IDP,,1578,115,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Male - Refugees,,2078,148,,
SS00,,SS0001,Abyei Region,Y,PRO,Children - Male - Returnees,,4108,548,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Female - Host Communities,,356,240,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Female - IDP,,3519,2051,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Female - Refugees,,7425,3785,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Female - Returnees,,825,297,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Male - Host Communities,,2336,1366,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Male - IDP,,1122,275,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Male - Refugees,,1477,324,,
SS00,,SS0001,Abyei Region,Y,PRO,Elderly - Male - Returnees,,4950,2214,,
SS00,,SS0001,Abyei Region,Y,PRO,total,,48534,16595,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Female - Host Communities,,36,4,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Female - IDP,,355,36,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Female - Refugees,,369,37,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Female - Returnees,,29,3,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Male - Host Communities,,236,64,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Male - IDP,,113,41,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Male - Refugees,,149,48,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Adult - Male - Returnees,,244,66,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Female - Host Communities,,374,37,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Female - IDP,,3692,408,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Female - Refugees,,3835,423,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Female - Returnees,,304,30,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Male - Host Communities,,2451,275,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Male - IDP,,1178,139,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Male - Refugees,,1550,179,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Children - Male - Returnees,,2530,283,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Female - Host Communities,,339,34,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Female - IDP,,3351,335,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Female - Refugees,,3481,348,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Female - Returnees,,276,28,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Male - Host Communities,,2225,487,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Male - IDP,,1069,296,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Male - Refugees,,1407,352,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,Elderly - Male - Returnees,,2297,499,,
SS00,,SS0001,Abyei Region,Y,PRO_CPM,total,,31891,4451,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Adult - Male - IDP,,45,16,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Adult - Male - Refugees,,113,39,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Female - Host Communities,,1571,303,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Female - IDP,,261,14,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Female - Refugees,,652,34,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Female - Returnees,,4714,1121,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Male - Host Communities,,1043,64,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Male - IDP,,1304,69,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Male - Refugees,,3912,255,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Children - Male - Returnees,,5868,443,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Female - Host Communities,,182,72,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Female - IDP,,227,78,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Female - Refugees,,681,288,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Female - Returnees,,1021,500,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Male - Host Communities,,314,61,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Male - IDP,,1257,281,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Male - Refugees,,7071,1946,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,Elderly - Male - Returnees,,786,151,,
SS00,,SS0001,Abyei Region,Y,PRO_GBV,total,,31024,5735,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Adult - Female - Host Communities,,36,13,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Adult - Female - IDP,,358,125,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Adult - Female - Refugees,,371,130,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Adult - Female - Returnees,,29,10,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Children - Female - Host Communities,,392,9,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Children - Female - IDP,,3870,85,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Children - Female - Refugees,,4020,88,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Children - Female - Returnees,,319,7,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Elderly - Female - Host Communities,,250,57,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Elderly - Female - IDP,,2468,568,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Elderly - Female - Refugees,,2563,590,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,Elderly - Female - Returnees,,203,47,,
SS00,,SS0001,Abyei Region,Y,PRO_HLP,total,,14878,1729,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Female - Host Communities,,73,47,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Female - IDP,,718,467,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Female - Refugees,,746,485,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Female - Returnees,,59,38,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Male - Host Communities,,477,310,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Male - IDP,,229,149,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Male - Refugees,,302,196,,
SS00,,SS0001,Abyei Region,Y,SHL,Adult - Male - Returnees,,492,320,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Female - Host Communities,,82,53,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Female - IDP,,812,528,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Female - Refugees,,843,548,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Female - Returnees,,67,43,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Male - Host Communities,,539,350,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Male - IDP,,259,168,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Male - Refugees,,341,222,,
SS00,,SS0001,Abyei Region,Y,SHL,Children - Male - Returnees,,556,362,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Female - Host Communities,,402,261,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Female - IDP,,3969,2580,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Female - Refugees,,4123,2680,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Female - Returnees,,327,212,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Male - Host Communities,,2635,1713,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Male - IDP,,1266,823,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Male - Refugees,,1666,1083,,
SS00,,SS0001,Abyei Region,Y,SHL,Elderly - Male - Returnees,,2720,1768,,
SS00,,SS0001,Abyei Region,Y,SHL,total,,23704,15408,,
SS00,,SS0001,Abyei Region,Y,WSH,Adult - Female,,6373,5098,,
SS00,,SS0001,Abyei Region,Y,WSH,Adult - Male,,6580,5264,,
SS00,,SS0001,Abyei Region,Y,WSH,Children,,972,778,,
SS00,,SS0001,Abyei Region,Y,WSH,Children - Female,,4031,3224,,
SS00,,SS0001,Abyei Region,Y,WSH,Children - Male,,3062,2450,,
SS00,,SS0001,Abyei Region,Y,WSH,Elderly,,790,632,,
SS00,,SS0001,Abyei Region,Y,WSH,Elderly - Female,,9973,7978,,
SS00,,SS0001,Abyei Region,Y,WSH,Elderly - Male,,9600,7680,,
SS00,,SS0001,Abyei Region,Y,WSH,total,,41381,33105,,
SS01,,SS0101,Juba,Y,ALL,total,,578307,373876,,
SS01,,SS0101,Juba,Y,CCM,Adult - Female - IDP,,83094,86823,,
SS01,,SS0101,Juba,Y,CCM,Adult - Male - IDP,,85171,88993,,
SS01,,SS0101,Juba,Y,CCM,Children - Female - IDP,,22903,23931,,
SS01,,SS0101,Juba,Y,CCM,Children - Male - IDP,,19164,20023,,
SS01,,SS0101,Juba,Y,CCM,Elderly - Female - IDP,,16359,17094,,
SS01,,SS0101,Juba,Y,CCM,Elderly - Male - IDP,,32978,34458,,
SS01,,SS0101,Juba,Y,CCM,total,,259669,271322,,
SS01,,SS0101,Juba,Y,EDU,Female,,20332,7478,,
SS01,,SS0101,Juba,Y,EDU,Male,,18030,6631,,
